VJ_combination	demo1_IG	demo2_IG	demo3_IG
IGHV4-6-2_IGHJ5-M	0.00206611570247934	0.0045662100456621	0
IGHV4-6-3_IGHJ1-M	0	0.0045662100456621	0.00335570469798658
IGHV4-6-3_IGHJ1-Z1	0	0	0
IGHV4-6-3_IGHJ2-M	0	0.0045662100456621	0.00335570469798658
IGHV4-6-3_IGHJ2-Z1	0	0	0
IGHV4-6-3_IGHJ3-M	0	0.0136986301369863	0
IGHV4-6-3_IGHJ4-M	0.00413223140495868	0	0.0100671140939597
IGHV4-6-3_IGHJ5-M	0	0	0
IGHV4-7_IGHJ1-M	0	0	0
IGHV4-7_IGHJ1-Z1	0	0	0
IGHV4-7_IGHJ2-M	0	0.0045662100456621	0
IGHV4-7_IGHJ2-Z1	0	0	0
IGHV4-7_IGHJ3-M	0	0	0
IGHV4-7_IGHJ4-M	0.00826446280991736	0	0
IGHV4-7_IGHJ5-M	0.00206611570247934	0.0045662100456621	0
IGHV4-8_IGHJ1-M	0.00413223140495868	0	0
IGHV4-8_IGHJ1-Z1	0	0	0
IGHV4-8_IGHJ2-M	0	0.0136986301369863	0
IGHV4-8_IGHJ2-Z1	0	0	0
IGHV4-8_IGHJ3-M	0.00206611570247934	0	0
IGHV4-8_IGHJ4-M	0	0	0
IGHV4-8_IGHJ5-M	0	0	0
IGHV4-9_IGHJ1-M	0	0.0045662100456621	0
IGHV4-9_IGHJ1-Z1	0	0	0
IGHV4-9_IGHJ2-M	0	0.0136986301369863	0
IGHV4-9_IGHJ2-Z1	0	0	0
IGHV4-9_IGHJ3-M	0	0	0
IGHV4-9_IGHJ4-M	0	0	0.00335570469798658
IGHV4-9_IGHJ5-M	0.00413223140495868	0	0
IGHV5-1-1_IGHJ1-M	0.00619834710743802	0	0.0503355704697987
IGHV5-1-1_IGHJ1-Z1	0	0	0
IGHV5-1-1_IGHJ2-M	0.00826446280991736	0.0182648401826484	0
IGHV5-1-1_IGHJ2-Z1	0	0	0
IGHV5-1-1_IGHJ3-M	0.00206611570247934	0	0
IGHV5-1-1_IGHJ4-M	0.00413223140495868	0.0182648401826484	0
IGHV5-1-1_IGHJ5-M	0	0	0
IGHV5-1-2_IGHJ1-M	0	0.0045662100456621	0.0335570469798658
IGHV5-1-2_IGHJ1-Z1	0	0	0
IGHV5-1-2_IGHJ2-M	0.00413223140495868	0	0
IGHV5-1-2_IGHJ2-Z1	0	0	0
IGHV5-1-2_IGHJ3-M	0	0.0045662100456621	0
IGHV5-1-2_IGHJ4-M	0.00206611570247934	0.0091324200913242	0
IGHV5-1-2_IGHJ5-M	0	0.0045662100456621	0
IGHV5-1-3_IGHJ1-M	0	0.0045662100456621	0.00335570469798658
